size;mu;sigma;reallTime;reallCount;reallMin;realMax;realMean;realNormalizedMean;estimatedTime;estimatedCount;estimatedMin;estimatedMax;estimatedMean;estimatedNormalizedMean;estimatedDiffMin;estimatedDiffMax;estimatedDifMean;estimatedNormalizedDiffMin;estimatedNormalizedDiffMax;estimatedNormalizedDiffMean;correctedTime;correctedCount;correctedMin;correctedMax;correctedMean;correctedNormalizedMean;correctedDiffMin;correctedDiffMax;correctedDifMean;correctedNormalizedDiffMin;correctedNormalizedDiffMax;correctedNormalizedDiffMean
1000;1.0;2.0;4569;999022;1.0;3.0;1.9405458538450626;0.4702729269225297;2256;998999;5.0;8.0;5.037096133229366;0.012365377743120862;2.0;7.0;3.096528625153776;-1.0;1.0;-0.4579183762946709;4004;999000;5.0;10.0;5.037101101101105;0.01236703370036705;2.0;9.0;3.096534534534533;-1.0;1.6666666666666667;-0.4579162495829163
1000;1.0;2.1;3951;999024;1.0;3.0;1.941729127628567;0.4708645638142822;1864;999000;5.0;8.0;5.103627627627612;0.03454254254254262;2.0;7.0;3.1618758758758756;-1.0;1.0;-0.43633333333333413;3527;999000;5.0;8.0;5.103627627627609;0.034542542542542624;2.0;7.0;3.1618758758758765;-1.0;1.0;-0.4363333333333342
1000;1.0;2.2;3369;999022;1.0;3.0;1.944892104478181;0.47244605223908953;1902;999000;5.0;8.0;5.163786786786779;0.054595595595595556;2.0;7.0;3.2188738738738705;-1.0;1.0;-0.41786086086086116;3972;999000;5.0;8.0;5.163786786786781;0.05459559559559558;2.0;7.0;3.218873873873871;-1.0;1.0;-0.41786086086086105
1000;1.0;2.3000000000000003;3783;999021;1.0;3.0;1.9452033540836473;0.47260167704182393;1868;999000;5.0;8.0;5.115921921921904;0.03864064064064068;2.0;7.0;3.170698698698695;-1.0;1.0;-0.43397097097097104;3530;999000;5.0;8.0;5.115921921921903;0.038640640640640676;2.0;7.0;3.1706986986986956;-1.0;1.0;-0.43397097097097104
1000;1.0;2.4000000000000004;4090;999018;1.0;3.0;1.94706201489863;0.4735310074493152;1825;999000;5.0;8.0;5.081078078078097;0.027026026026025975;2.0;7.0;3.133998998998997;-1.0;1.0;-0.44651351351351337;3339;999000;5.0;8.0;5.081078078078095;0.027026026026025978;2.0;7.0;3.133998998998997;-1.0;1.0;-0.4465135135135134
1000;1.0;2.5000000000000004;4130;999020;1.0;3.0;1.9441812976717154;0.4720906488358594;1813;999000;5.0;8.0;5.056456456456476;0.018818818818818816;2.0;7.0;3.112256256256257;-1.0;1.0;-0.45328128128128137;3323;999000;5.0;8.0;5.056456456456478;0.018818818818818816;2.0;7.0;3.1122562562562566;-1.0;1.0;-0.45328128128128137
1000;1.0;2.6000000000000005;3769;999021;1.0;3.0;1.9424606689949453;0.471230334497472;1803;999000;5.0;8.0;5.039168168168158;0.013056056056056075;2.0;7.0;3.0966876876876936;-1.0;1.0;-0.4581841841841845;3396;999000;5.0;8.0;5.039168168168157;0.013056056056056071;2.0;7.0;3.096687687687694;-1.0;1.0;-0.45818418418418455
1000;1.0;2.7000000000000006;3790;999020;1.0;3.0;1.9422353906828698;0.47111769534143433;1776;999000;5.0;8.0;5.071033033033049;0.023677677677677634;2.0;7.0;3.1287787787787744;-1.0;1.0;-0.4474494494494493;3377;999000;5.0;8.0;5.07103303303305;0.023677677677677627;2.0;7.0;3.1287787787787744;-1.0;1.0;-0.4474494494494493
1000;1.0;2.8000000000000007;3711;999020;1.0;3.0;1.9435146443514655;0.47175732217573213;1818;999000;5.0;8.0;5.05666366366367;0.018887887887887932;2.0;6.0;3.1131301301301284;-1.0;0.5;-0.45287887887887873;3366;999000;5.0;8.0;5.056663663663671;0.018887887887887932;2.0;6.0;3.1131301301301284;-1.0;0.5;-0.4528788788788787
1000;1.0;2.900000000000001;3980;999019;1.0;3.0;1.9466186328788546;0.4733093164394273;1704;998999;5.0;8.0;5.046675722398065;0.015558574132706803;2.0;7.0;3.1000381381763193;-1.0;1.0;-0.45776021797819605;3224;999000;5.0;10.0;5.046680680680627;0.015560226893560191;2.0;9.0;3.1000440440440493;-1.0;1.6666666666666667;-0.4577580914247581
1000;1.0;3.000000000000001;4188;999019;1.0;3.0;1.9465866014560267;0.4732933007280139;1844;998998;5.0;8.0;5.099684884254043;0.03322829475134078;2.0;7.0;3.153078384541311;-1.0;1.0;-0.44007495510501526;3310;999000;5.0;10.0;5.099694694694714;0.03323156489823149;2.0;9.0;3.1530900900900902;-1.0;1.6666666666666667;-0.44007073740407077
1000;1.0;3.100000000000001;3416;999021;1.0;3.0;1.9418500712197206;0.47092503560986193;1759;998998;5.0;8.0;5.067937072947072;0.022645690982364367;2.0;7.0;3.126065317448081;-1.0;1.0;-0.4482901867671406;4016;999000;5.0;10.0;5.067946946946928;0.022648982315649012;2.0;9.0;3.126077077077074;-1.0;1.6666666666666667;-0.44828595261928605
1000;1.0;3.200000000000001;3450;999024;1.0;3.0;1.936441967360144;0.4682209836800723;1801;998997;5.0;8.0;5.043943074904103;0.014647691634709614;2.0;7.0;3.107475798225621;-1.0;1.0;-0.4535859467045448;4041;999000;5.0;10.0;5.043957957957931;0.014652652652652646;2.0;9.0;3.1074934934934952;-1.0;1.6666666666666667;-0.45357957957957973
